Country, Name, Start, End, Full Name, Web reference
Brazil, Fernando Collor de Mello, 1990-03-15,1992-10-02, President Fernando Collor de Mello, http://www.worldpresidentsdb.com/Fernando-Collor-de-Mello/
Brazil, Itamar Franco, 1992-12-29,1995-01-01, President Itamar Franco, http://www.worldpresidentsdb.com/Itamar-Franco/
Brazil, Fernando Henrique Cardoso, 1995-01-01,1999-01-01, President Fernando Henrique Cardoso, http://www.worldpresidentsdb.com/Fernando-Henrique-Cardoso/
Brazil, Fernando Henrique Cardoso, 1999-01-01,2003-01-01, President Fernando Henrique Cardoso, http://www.worldpresidentsdb.com/Fernando-Henrique-Cardoso/
Brazil, Luiz Inacio Lula da Silva, 2003-01-01,2007-01-01, President Luiz Inacio Lula da Silva, http://www.worldpresidentsdb.com/Luiz-Inacio-Lula-da-Silva/
Brazil, Luiz Inacio Lula da Silva, 2007-01-01,2011-01-01, President Luiz Inacio Lula da Silva, http://www.worldpresidentsdb.com/Luiz-Inacio-Lula-da-Silva/
Brazil, Dilma Rousseff, 2011-01-01,2016-08-31, President Dilma Rousseff, http://www.worldpresidentsdb.com/Dilma-Rousseff/
Brazil, Michel Temer, 2016-09-01,Acting, President Michel Temer, http://www.worldpresidentsdb.com/BYHAND!!!/
Afghanistan, Mohammad Najibullah, 1987-09-30,1992-04-16, President Mohammad Najibullah, http://www.worldpresidentsdb.com/Mohammad-Najibullah/
Afghanistan, Burhanuddin Rabbani, 2001-11-13,2001-12-22, President Burhanuddin Rabbani, http://www.worldpresidentsdb.com/Burhanuddin-Rabbani/
Afghanistan, Burhanuddin Rabbani, 1922-06-28,1996-09-27, President Burhanuddin Rabbani, http://www.worldpresidentsdb.com/Burhanuddin-Rabbani/
Afghanistan, Hamid Karzai, 2009-08-20,2014-09-29, Dictator Hamid Karzai, http://www.worldpresidentsdb.com/Hamid-Karzai/
Afghanistan, Hamid Karzai, 2001-12-22,2004-12-07, Dictator Hamid Karzai, http://www.worldpresidentsdb.com/Hamid-Karzai/
Afghanistan, Ashraf Ghani, 2014-09-29,Acting, President Ashraf Ghani, http://www.worldpresidentsdb.com/Ashraf-Ghani/
Italy, Carlo Azeglio Ciampi, 1999-05-18,2006-05-15, President Carlo Azeglio Ciampi, http://www.worldpresidentsdb.com/Carlo-Azeglio-Ciampi/
Italy, Francesco Cossiga, 1985-06-29,1992-04-28, President Francesco Cossiga, http://www.worldpresidentsdb.com/Francesco-Cossiga/
Italy, Enrico De Nicola, 1946-07-01,1948-05-11, President Enrico De Nicola, http://www.worldpresidentsdb.com/Enrico-De-Nicola/
Italy, Luigi Einaudi, 1948-05-11,1955-05-11, President Luigi Einaudi, http://www.worldpresidentsdb.com/Luigi-Einaudi/
Italy, Giovanni Gronchi, 1955-05-11,1962-05-11, President Giovanni Gronchi, http://www.worldpresidentsdb.com/Giovanni-Gronchi/
Italy, Enrico Letta, 2013-04-28,2014-02-22, Prime Minister Enrico Letta, http://www.worldpresidentsdb.com/Enrico-Letta/
Italy, Mario Monti, 2011-11-16,2013-04-28, Prime Minister Mario Monti, http://www.worldpresidentsdb.com/Mario-Monti/
Italy, Benito Mussolini, 1922-10-31,1943-07-25, Prime Minister Benito Mussolini, http://www.worldpresidentsdb.com/Benito-Mussolini/
Italy, Giorgio Napolitano, 2006-05-15,Acting, President Giorgio Napolitano, http://www.worldpresidentsdb.com/Giorgio-Napolitano/
Italy, Matteo Renzi, 2014-02-22,Acting, Prime Minister Matteo Renzi, http://www.worldpresidentsdb.com/Matteo-Renzi/
Italy, Oscar Luigi Scalfaro, 1992-05-25,1999-05-15, President Oscar Luigi Scalfaro, http://www.worldpresidentsdb.com/Oscar-Luigi-Scalfaro/
Bangladesh, AFM Ahsanuddin Chowdhury, 1982-03-27,1983-12-10, President AFM Ahsanuddin Chowdhury, http://www.worldpresidentsdb.com/AFM-Ahsanuddin-Chowdhury/
Bangladesh, Hussain Muhammad Ershad, 1983-12-11,1990-12-06, President Hussain Muhammad Ershad, http://www.worldpresidentsdb.com/Hussain-Muhammad-Ershad/
Bangladesh, Zillur Rahman, 2009-02-12,2013-03-20, President Zillur Rahman, http://www.worldpresidentsdb.com/Zillur-Rahman/
Bangladesh, Abdul Hamid, 2013-04-24,Acting, President Abdul Hamid, http://www.worldpresidentsdb.com/Abdul-Hamid/
Canada, John A Macdonald, 1878-10-17,1891-06-06, Prime Minister John A Macdonald, http://www.worldpresidentsdb.com/John-A-Macdonald/
Canada, Alexander Mackenzie, 1873-11-07,1878-10-08, Prime Minister Alexander Mackenzie, http://www.worldpresidentsdb.com/Alexander-Mackenzie/
Canada, John Abbott, 1891-06-16,1892-11-24, Prime Minister John Abbott, http://www.worldpresidentsdb.com/John-Abbott/
Canada, John Sparrow David Thompson, 1892-12-05,1894-12-12, Prime Minister John Sparrow David Thompson, http://www.worldpresidentsdb.com/John-Sparrow-David-Thompson/
Canada, Mackenzie Bowell, 1894-12-21,1896-04-27, Prime Minister Mackenzie Bowell, http://www.worldpresidentsdb.com/Mackenzie-Bowell/
Canada, Charles Tupper, 1896-05-01,1896-07-08, Prime Minister Charles Tupper, http://www.worldpresidentsdb.com/Charles-Tupper/
